127.0.0.1 - - [28/Apr/2021:22:04:38 -0300] "GET / HTTP/1.1" 404 1036
0:0:0:0:0:0:0:1 - - [28/Apr/2021:22:04:39 -0300] "GET /ProjetoTrilhaWeb/ HTTP/1.1" 200 1517
0:0:0:0:0:0:0:1 - - [28/Apr/2021:22:04:39 -0300] "GET /ProjetoTrilhaWeb/css/site.css HTTP/1.1" 200 2783
0:0:0:0:0:0:0:1 - - [28/Apr/2021:22:04:39 -0300] "GET /ProjetoTrilhaWeb/js/site.js HTTP/1.1" 200 5461
0:0:0:0:0:0:0:1 - - [28/Apr/2021:22:04:39 -0300] "GET /ProjetoTrilhaWeb/imgs/geladeira1.png HTTP/1.1" 200 21198
0:0:0:0:0:0:0:1 - - [28/Apr/2021:22:04:39 -0300] "GET /ProjetoTrilhaWeb/imgs/geladeira2.png HTTP/1.1" 200 18537
0:0:0:0:0:0:0:1 - - [28/Apr/2021:22:04:39 -0300] "GET /ProjetoTrilhaWeb/pages/site/general/cabecalho.html HTTP/1.1" 200 106
0:0:0:0:0:0:0:1 - - [28/Apr/2021:22:04:39 -0300] "GET /ProjetoTrilhaWeb/pages/site/general/menu.html HTTP/1.1" 200 267
0:0:0:0:0:0:0:1 - - [28/Apr/2021:22:04:39 -0300] "GET /ProjetoTrilhaWeb/pages/site/general/rodape.html HTTP/1.1" 200 39
0:0:0:0:0:0:0:1 - - [28/Apr/2021:22:04:39 -0300] "GET /ProjetoTrilhaWeb/imgs/logo.png HTTP/1.1" 200 109630
0:0:0:0:0:0:0:1 - - [28/Apr/2021:22:05:15 -0300] "GET /ProjetoTrilhaWeb/admin HTTP/1.1" 404 1058
0:0:0:0:0:0:0:1 - - [28/Apr/2021:22:05:24 -0300] "GET /ProjetoTrilhaWeb/pages/admin/index.html HTTP/1.1" 200 802
0:0:0:0:0:0:0:1 - - [28/Apr/2021:22:05:24 -0300] "GET /ProjetoTrilhaWeb/css/admin.css HTTP/1.1" 200 2655
0:0:0:0:0:0:0:1 - - [28/Apr/2021:22:05:24 -0300] "GET /ProjetoTrilhaWeb/js/admin.js HTTP/1.1" 200 912
0:0:0:0:0:0:0:1 - - [28/Apr/2021:22:05:24 -0300] "GET /ProjetoTrilhaWeb/pages/admin/general/header.html HTTP/1.1" 200 953
0:0:0:0:0:0:0:1 - - [28/Apr/2021:22:05:24 -0300] "GET /ProjetoTrilhaWeb/pages/admin/general/footer.html HTTP/1.1" 200 39
0:0:0:0:0:0:0:1 - - [28/Apr/2021:22:05:27 -0300] "GET /ProjetoTrilhaWeb/pages/admin/product/ HTTP/1.1" 200 903
0:0:0:0:0:0:0:1 - - [28/Apr/2021:22:05:43 -0300] "GET /ProjetoTrilhaWeb/pages/admin/index.html HTTP/1.1" 200 802
0:0:0:0:0:0:0:1 - - [28/Apr/2021:22:05:43 -0300] "GET /ProjetoTrilhaWeb/css/admin.css HTTP/1.1" 200 2655
0:0:0:0:0:0:0:1 - - [28/Apr/2021:22:05:43 -0300] "GET /ProjetoTrilhaWeb/js/admin.js HTTP/1.1" 200 912
0:0:0:0:0:0:0:1 - - [28/Apr/2021:22:05:44 -0300] "GET /ProjetoTrilhaWeb/pages/admin/general/header.html HTTP/1.1" 200 953
0:0:0:0:0:0:0:1 - - [28/Apr/2021:22:05:44 -0300] "GET /ProjetoTrilhaWeb/pages/admin/general/footer.html HTTP/1.1" 200 39
0:0:0:0:0:0:0:1 - - [28/Apr/2021:22:05:44 -0300] "GET /favicon.ico HTTP/1.1" 404 1047
0:0:0:0:0:0:0:1 - - [28/Apr/2021:22:05:44 -0300] "GET /ProjetoTrilhaWeb/imgs/logo.png HTTP/1.1" 200 109630
0:0:0:0:0:0:0:1 - - [28/Apr/2021:22:05:46 -0300] "GET /ProjetoTrilhaWeb/pages/admin/product/ HTTP/1.1" 200 903
