127.0.0.1 - - [27/May/2021:20:19:23 -0300] "GET / HTTP/1.1" 404 763
0:0:0:0:0:0:0:1 - - [27/May/2021:20:19:31 -0300] "GET /ProjetoTrilhaWeb/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/May/2021:20:19:32 -0300] "GET /ProjetoTrilhaWeb/js/site.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/May/2021:20:19:34 -0300] "GET /ProjetoTrilhaWeb/pages/site/general/cabecalho.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/May/2021:20:19:34 -0300] "GET /ProjetoTrilhaWeb/pages/site/general/menu.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/May/2021:20:19:34 -0300] "GET /ProjetoTrilhaWeb/pages/site/general/rodape.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/May/2021:20:20:03 -0300] "GET /ProjetoTrilhaWeb/ HTTP/1.1" 200 1517
0:0:0:0:0:0:0:1 - - [27/May/2021:20:20:05 -0300] "GET /ProjetoTrilhaWeb/css/site.css HTTP/1.1" 200 2783
0:0:0:0:0:0:0:1 - - [27/May/2021:20:20:05 -0300] "GET /ProjetoTrilhaWeb/js/site.js HTTP/1.1" 200 5461
0:0:0:0:0:0:0:1 - - [27/May/2021:20:20:06 -0300] "GET /ProjetoTrilhaWeb/imgs/geladeira1.png HTTP/1.1" 200 21198
0:0:0:0:0:0:0:1 - - [27/May/2021:20:20:06 -0300] "GET /ProjetoTrilhaWeb/imgs/geladeira2.png HTTP/1.1" 200 18537
0:0:0:0:0:0:0:1 - - [27/May/2021:20:20:06 -0300] "GET /ProjetoTrilhaWeb/pages/site/general/menu.html HTTP/1.1" 200 267
0:0:0:0:0:0:0:1 - - [27/May/2021:20:20:06 -0300] "GET /ProjetoTrilhaWeb/pages/site/general/cabecalho.html HTTP/1.1" 200 106
0:0:0:0:0:0:0:1 - - [27/May/2021:20:20:06 -0300] "GET /ProjetoTrilhaWeb/pages/site/general/rodape.html HTTP/1.1" 200 39
0:0:0:0:0:0:0:1 - - [27/May/2021:20:20:06 -0300] "GET /favicon.ico HTTP/1.1" 404 774
0:0:0:0:0:0:0:1 - - [27/May/2021:20:20:06 -0300] "GET /ProjetoTrilhaWeb/imgs/logo.png HTTP/1.1" 200 109630
0:0:0:0:0:0:0:1 - - [27/May/2021:20:20:14 -0300] "GET /ProjetoTrilhaWeb/pages/admin/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/May/2021:20:20:14 -0300] "GET /ProjetoTrilhaWeb/js/jquery-1.10.2.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/May/2021:20:20:14 -0300] "GET /ProjetoTrilhaWeb/css/admin.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/May/2021:20:20:14 -0300] "GET /ProjetoTrilhaWeb/css/jquery-ui.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/May/2021:20:20:14 -0300] "GET /ProjetoTrilhaWeb/js/admin.js HTTP/1.1" 200 1370
0:0:0:0:0:0:0:1 - - [27/May/2021:20:20:15 -0300] "GET /ProjetoTrilhaWeb/pages/admin/general/header.html HTTP/1.1" 200 953
0:0:0:0:0:0:0:1 - - [27/May/2021:20:20:15 -0300] "GET /ProjetoTrilhaWeb/pages/admin/general/footer.html HTTP/1.1" 200 39
0:0:0:0:0:0:0:1 - - [27/May/2021:20:20:23 -0300] "GET /ProjetoTrilhaWeb/pages/admin/product/ HTTP/1.1" 200 988
0:0:0:0:0:0:0:1 - - [27/May/2021:20:20:23 -0300] "GET /ProjetoTrilhaWeb/js/product.js?_=1622157615036 HTTP/1.1" 200 3069
0:0:0:0:0:0:0:1 - - [27/May/2021:20:20:29 -0300] "GET /ProjetoTrilhaWeb/rest/marca/buscar HTTP/1.1" 200 115
